Aleut,Eng
Al hamaax anĝaĝinax̂ haman qalgadax̂ taxsaqax̂ aguun Taxsaqax̂ ax̂taguun qan'gim silan wan tugidam hulax̂tanaa inal aguun slax̂ hawaan huzugaan maqat maqadaĝaan mal anĝaĝinam qaatunanginiin chisilgaqalizaqax,But towards winter at the end of this month when the weather generally changes the food that had been stored was distributed to the hungry people to everyone
Anĝaĝinam huzungis agaxtakuu ingisxigikux̂ ama liidax̂ nagan sahnganaxtada Txin sakaaĝatal anagis mataxchx̂ida inaqamchix̂ agangudaganasaaĝiiĝutakus ludaangan huzuu ngaan quĝasaatakus,All human beings are born free and equal in dignity and rights They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood
a-a,yes
a-nit,village
a-te-pa,cod
aalax,two
aamaaxs,blood
aamgix̂,blood
aanasnaadax,bee
aanasnaadax,wasp
aang,yes
aang,hello
aang,hi
aang,yep
aang,ay
aang,right
aanux̂,red salmon
aavix̂,blood
aaykaaĝux̂,red fox
achixanax,teacher
achixanax,dominie
achixanax,instructor
acht-nak,sea otter
adax,father
adax,begetter
adax,dad
adax,daddy
adax,fader
adax,papa
adax,parent
adax,sire
adax,Lord
adax̂,father
adgayux,salmon
adgayux̂,pink salmon
adgayux̂,humpback salmon
aĝadgix,zun
agdiikax,ptarmigan
agdiikax,grouse
agdiikax,willow grouse
agiitaadax,friend
agiitaadax,acquaintance
agiitaadax,buddy
agiitaadax,company
agiitaadax,compeer
agiitaadax,comrade
agiitaadax,sidekick
agiitaadax,eme
agiitaadax,bruv
aglux̂,killer whale
agolo-kuluk, chewed tobacco
aguĝaadax̂,sea urchin
aguĝnax̂,sea urchin
aig-what,hand
akalu,path
ak-lak, wind
ak-tanak-tuk,heavy
akie,to go
al,but
alaĝum sdaa,sea star
alaĝux̂,ocean
alaĝux̂,sea
alax,two
Alaxsxa,Alaska
alax̂tax̂,birch
algax,animal
algax,alien
algax,beast
algax,beastie
algax,brute
algax,creature
algax,critter
algax,fauna
algax,organism
algax,zooid
alix̂,but
alix̂ngix̂,wolf
al-tierie-kuk,to return
al-tierie-kuk,to come
al-tierie-kuk,ro arrive
ala-bur-tut,to work
ala-bur-tut,to make
alat-jes,hot cakes
amax,blood
amiyuung,king salmon
amiyuung,quinnat salmon
amiyuung,Chinook salmon
amiyuux̂,king salmon
amiyuux̂,quinnat salmon
amiyuux̂,Chinook salmon
anax,mother
anax,mater
anax,mum
anax,old lady
anax,parent
anax̂,mother
angali kingachxicax,good night
angali kingachxicax,goodnight
angalix̂,today
angalix̂,day
an-gle,as hell
an-gle, as anything
an-gle,as all hell
an-gle,as fuck
an-gle,all that
an-gle,astonishingly
an-gle,frighteningly
an-gle,quite
an-gle,very
an-gle,to the max
aniqdux,baby
aniqdux,babe
aniqdux,child
aniqdux,kid
aniqdux,little sweetie
aniqdux,newborn
aniqdux,newborn child
aniqdux,papoose
aniqdux,small insect
aniqdux,babby
aniqdux,infaneto
aniqdux,pikkie
aniqdux,babby
aniqdux̂,child
aniqdux̂,youngster
aniqdux̂,infant
aniqdux̂,bairn
aniqdux̂,kid
an-na,to travel
an-na,to get out
a-nit,town
a-nit,village
anXaXi8a,person
anXusin,nose
aqamdax̂,cloudberry
aqamdax̂,bakeapple
ariba,kebab
ariba,fish
ariba,fafrotskies
arkat,hand
aror-un,whale
asa,name
a-shik-tuk,very goof
a-shik-tuk,flawless
a-shik-tuk,impeccable
a-shik-tuk,perfect
asi-duk,frightful
asi-duk,heinous
asi-duk,horrible
asi-duk,horrific
asi-duk,messed up
asi-duk,atrocious
as-juk,kitchen
as-juk,cookery
as-juk,cooking
as-juk,cuisine
asXa,die
asxaanax,dead
asxaanax,cold as a wagon tire
asxaanax,pushing up daisies
asxaanax,wormfood
asxinux,girl
asxinux,daughter
asxinux,fille
asxinux,gal
asxinux,girlie
asxinux,lass
asxinux,lassie
asxinux,little girl
asxinux,maid
asxinux,miss
asxinux,missy
asxinux,wife
asxinux,woman
asxinux,baby girl
asxinux,Miss
asxinux,salientian
asxinux,emancipatrix
asxinux,translatrix
asxinux,guardienne
asxinux,batrachian
asxinux,colleen
asxinux̂,girl
asxinux̂,daughter
ataku,eventually
ataku,in due course
ataku,later
ataku,now
ataku,soon
ataku,erelong
ataku,sharpish
ataku,soonly
ataku,betimes
ataqa-n,one
ataqan,one
atteirie-rie-kuk,go
atteirie-rie-kuk,reach
atteirie-rie-kuk,arrive
atteirie-rie-kuk,come
atteirie-rie-kuk,come in
atuung,six
atxidax̂,grey cod
au-gte,frighteningly
au-gte,quite
au-gte,very
au-gte,to the max
au-gte,as hell
au-gte,as anything
au-gte,as all hell
au-gte,as fuck
au-gte,all that
au-gte,astonishingly
awal,work
aXa8a,sun
aXi,liver
axna,tongue
ayagax̂,woman
ayagax̂,wife
ayagigux̂,two-spirit
aygayux̂,humpback salmon
aygayux̂,pink salmon
aykaaĝux̂,red fox
ayku,dog
ayxaasix,boat
ayxaasix,drogue
ayxaasix,hoy
ayxaasix,nave
ayxaasix,ship
ayxaasix,vessel
ayxaasix,yacht
ayxaasix,aisle
ayxaasix,barge
baba rat,daddy
baba rat,fader
baba rat,father
baba rat,papa
baba rat,parent
baba rat,sire
baba rat,Lord
baba rat,begetter
baba rat,dad
bala-kula,liner
bala-kula,steamboat
bala-kula,steamer
bala-kula,steamship
bala-kula,boat
bal-duk,jacket
ba-lia,fishing boat
ba-lia,fishing vessel
bata-kak,flummadiddle
bata-kak,arrack
ba-tlouk,cartridge
ba-tua,lid
ba-tua,top
ba-tua,cover
ba-tuku,white whale
ba-tuku,beluga whale
ba-tuku,sea canary
ba-tuku,white beluga
ba-tuku,beluga
be-tuska,pillow
be-tuska,cushion
beachie-muk, all gone
belchie-luko,kiss
belchie-luko,to kiss
bilok,to saw
biruuzax̂,birch
bla-din-ag,rope
bla-din-ag,monofilaments
blat-ka,tabernacle
blat-ka,tent
bla-tuk,handkerchief
bla-tuk,hankie
bla-tuk,hanky
bla-tuk,headscarf
bla-tuk,kerchief
bla-tuk,shawl
bla-tuk,hankey
bla-tuk,bandanna
blilo,stove
bluska,inhalation
bo-juk,smoke
bo-ruk,explosive
bo-ruk,gunpowder
bou-ska,barrel
bou-ska,keg
bras-snik,Sunday
bras-snik,Advent
bukan-kuka,empty
bukan-kuka,nothing
bu-kau-coku,empty
bu-kau-coku,nothing
bul-shoi,eminent
bul-shoi,fore
bul-shoi,generous
bul-shoi,great
bul-shoi,leading
bul-shoi,liberal
bul-shoi,magnanimous
bul-shoi,noble
bul-shoi,pregnant
bul-shoi,prominent
bul-shoi,salient
bul-shoi,striking
bul-shoi,wholehearted
bul-shoi,whole-hearted
bul-shoi,Eminent
bul-shoi,bighearted
buluk-likuk,to capsize
buluk-likuk,to turn
bydarkey skoon-ik,schooner
bydarkey skoon-ik,three masts.
Ca,hand
cali-kam,letter
cali-kam,paper
cali-kam,book
cal-rek,highway 
cal-rek,motorway
cal-rek,superhighway
cal-rek,throughway
cal-rek,thruway
cal-rek,turnpike
cal-rek,autoroute
cal-rek,state highway
